"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"Sparse PCA (Fixed)",0.0980242542612035,3.89133674329049,0.9875,0.452272727272727,-0.326611054618285,1e-17,NA,500,200,3,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.175831516257793,1.66734941388724,0.75625,0.0977272727272727,0.000911406968918053,NA,"varimax",500,200,3,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.175831516257793,4.46184817617976,0.525,0.25,0.199539478458258,NA,"oblimin",500,200,3,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.175831516257793,4.46184817617976,0.525,0.25,0.199539478458258,NA,"quartimin",500,200,3,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.175831516257793,1.66734941388724,0.15625,0,0.994892398493049,NA,"quartimax",500,200,3,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.2,0,0.1,1,0.1,NA
"PCA",0.974063509064774,3.85702493365922,0.425,0.488235294117647,0.0649507053192446,NA,NA,100,50,5,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0825429600501427,3.85681468798281,0.675,0.235294117647059,0.204618832034721,1e-17,NA,100,50,5,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.150160802033996,0.668214960504489,0.3875,0.152941176470588,0.0692036379979559,NA,"varimax",100,50,5,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.150160802033996,1.17196458085686,0.5,0.2,0.422791998114455,NA,"oblimin",100,50,5,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.150160802033996,1.17196458085686,0.5,0.2,0.422791998114455,NA,"quartimin",100,50,5,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.150160802033996,0.668214960504489,0.3625,0.141176470588235,0.0222089001423034,NA,"quartimax",100,50,5,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.2,0,0.1,1,0.1,NA
"PCA",1.15645767452438,3.4990993861895,0.2125,0.488235294117647,-0.314679729197201,NA,NA,500,50,5,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0887984092877335,3.49892264614793,0.6125,0.205882352941176,-0.603168428088636,1e-17,NA,500,50,5,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.148058959821243,0.409041388048536,0.3875,0.164705882352941,-0.217043497935975,NA,"varimax",500,50,5,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.148058959821243,1.07283520058232,0.2875,0.229411764705882,0.323356445149033,NA,"oblimin",500,50,5,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.148058959821243,1.07283520058232,0.2875,0.229411764705882,0.323356445149033,NA,"quartimin",500,50,5,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.148058959821243,0.409041388048543,0.275,0.194117647058824,0.217421930822686,NA,"quartimax",500,50,5,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.2,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.14173407146848,6.48561931785209,0.25,0.617647058823529,-0.198252456424051,NA,NA,500,100,5,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0936161641002236,6.48526033129176,0.50625,0.326470588235294,-0.195875969448714,1e-17,NA,500,100,5,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.146988633746174,0.629692617149679,0.2625,0.152941176470588,0.122283627862034,NA,"varimax",500,100,5,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.146988633746174,1.76203238534294,0.29375,0.267647058823529,0.468591330335149,NA,"oblimin",500,100,5,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.146988633746174,1.76203238534294,0.29375,0.267647058823529,0.468591330335149,NA,"quartimin",500,100,5,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.146988633746174,0.629692617149672,0.4375,0.235294117647059,-0.0759911641426486,NA,"quartimax",500,100,5,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.2,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.2,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.26932896453039,13.2694759687562,0.125,0.622058823529412,0.273305214109201,NA,NA,500,200,5,0.2,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0967412830750733,13.2687362884531,0.5,0.383823529411765,0.520242285822914,1e-17,NA,500,200,5,0.2,0,0.1,1,NA,NA
"EFA (varimax)",0.151929785617104,1.33840777863624,0.25,0.130882352941176,0.203838986480048,NA,"varimax",500,200,5,0.2,0,0.1,1,NA,NA
"EFA (oblimin)",0.151929785617104,3.91238536845977,0.025,0.133823529411765,0.699597730965933,NA,"oblimin",500,200,5,0.2,0,0.1,1,NA,NA
"EFA (quartimin)",0.151929785617104,3.91238536845977,0.025,0.133823529411765,0.699597730965933,NA,"quartimin",500,200,5,0.2,0,0.1,1,NA,NA
"EFA (quartimax)",0.151929785617104,1.33840777863627,0.259375,0.183823529411765,0.195446494011554,NA,"quartimax",500,200,5,0.2,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.2,0,0.1,1,0.1,NA
"PCA",1.09064855802417,7.9843064149231,0.5,0.04,-0.220112745878023,NA,NA,100,50,3,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0892592031053036,7.98382552064313,0.88,0,-0.588664966202879,1e-17,NA,100,50,3,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.111889602103481,0.458179536410324,0.72,0,0.693491299337363,NA,"varimax",100,50,3,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.111889602103481,0.396410434909317,0.35,0,0.630430381619584,NA,"oblimin",100,50,3,0.5,0,0.1,1,NA,NA
"EFA (quartimin)",0.111889602103481,0.396410434909317,0.35,0,0.630430381619584,NA,"quartimin",100,50,3,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.111889602103481,0.45817953641032,0.74,0,0.628207891139535,NA,"quartimax",100,50,3,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.5,0,0.1,1,0.1,NA
"PCA",1.16300472584559,7.97020579269853,0.44,0.1,0.337071576054862,NA,NA,500,50,3,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0913978830303979,7.96947225572311,0.86,0,0.57018988921333,1e-17,NA,500,50,3,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.111357168251054,0.207098435765502,0.21,0,0.660482511908251,NA,"varimax",500,50,3,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.111357168251054,0.204737560728976,0.16,0,0.667554306443507,NA,"oblimin",500,50,3,0.5,0,0.1,1,NA,NA
"EFA (quartimin)",0.111357168251054,0.204737560728976,0.16,0,0.667554306443507,NA,"quartimin",500,50,3,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.111357168251054,0.207098435765491,0.17,0,0.668074221363538,NA,"quartimax",500,50,3,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.5,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.5,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.808659957089823,15.9774123928112,0.315,0.02,-0.333302408677785,NA,NA,500,100,3,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0957309331888666,15.9759170401282,0.785,0,-0.588766843434175,1e-17,NA,500,100,3,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.121439578039415,0.367794387974797,0.245,0,0.663838111731436,NA,"varimax",500,100,3,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.121439578039416,0.365478653729369,0.085,0,0.666533647425837,NA,"oblimin",500,100,3,0.5,0,0.1,1,NA,NA
"EFA (quartimin)",0.121439578039416,0.365478653729369,0.085,0,0.666533647425837,NA,"quartimin",500,100,3,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.121439578039416,0.367794387974811,0.085,0,0.666448509138347,NA,"quartimax",500,100,3,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.5,0,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.5,0,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.5,0,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.657105292021683,32.6960168582747,0.27,0.11,0.541535647441791,NA,NA,500,200,3,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0977380499093832,32.6932468218878,0.2525,0,0.645829737363552,1e-17,NA,500,200,3,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.11638650899371,0.748786568672301,0.25,0,0.678395637898147,NA,"varimax",500,200,3,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.11638650899371,0.742354340980427,0.0625,0,0.653170252879062,NA,"oblimin",500,200,3,0.5,0,0.1,1,NA,NA
"EFA (quartimin)",0.11638650899371,0.742354340980427,0.0625,0,0.653170252879062,NA,"quartimin",500,200,3,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.11638650899371,0.74878656867233,0.0925,0,0.652845907549521,NA,"quartimax",500,200,3,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.5,0,0.1,1,0.1,NA
"PCA",1.40509282822892,11.8314792317268,0.55,0.14,-0.0224312478685281,NA,NA,100,50,5,0.5,0,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0774196896049725,11.8310024969064,0.83,0,0.213412997597124,1e-17,NA,100,50,5,0.5,0,0.1,1,NA,NA
"EFA (varimax)",0.105631664988968,0.731301919170271,0.43,0,0.347406114044689,NA,"varimax",100,50,5,0.5,0,0.1,1,NA,NA
"EFA (oblimin)",0.105631664988968,0.67722901738053,0.325,0,0.341001400710152,NA,"oblimin",100,50,5,0.5,0,0.1,1,NA,NA
"EFA (quartimin)",0.105631664988968,0.67722901738053,0.325,0,0.341001400710152,NA,"quartimin",100,50,5,0.5,0,0.1,1,NA,NA
"EFA (quartimax)",0.105631664988968,0.731301919170257,0.435,0,0.335672436674287,NA,"quartimax",100,50,5,0.5,0,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.5,0,0.1,1,0.1,NA
