"method","mse","loading_error","false_positive_rate","false_negative_rate","mean_factor_score_cor","used_alpha","rotation_method","n","p","m","alpha","gamma","sigma_sq","rep","lambda","error_message"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.5,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.894791434121869,18.0102711584394,0.5225,0.23,-0.370307540224324,NA,NA,500,100,5,0.5,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0911064355467477,18.0095194045284,0.485,0,-0.419085861031426,1e-17,NA,500,100,5,0.5,1,0.1,1,NA,NA
"EFA (varimax)",0.137949682440368,0.439843407415054,0.2225,0,0.376269084798711,NA,"varimax",500,100,5,0.5,1,0.1,1,NA,NA
"EFA (oblimin)",0.137949682440368,0.453531374528922,0.165,0,0.369511626309153,NA,"oblimin",500,100,5,0.5,1,0.1,1,NA,NA
"EFA (quartimin)",0.137949682440368,0.453531374528922,0.165,0,0.369511626309153,NA,"quartimin",500,100,5,0.5,1,0.1,1,NA,NA
"EFA (quartimax)",0.137949682440368,0.439843407415054,0.185,0,0.418049447598463,NA,"quartimax",500,100,5,0.5,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.5,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.5,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.5,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.03157120033089,36.202329233827,0.41375,0.365,0.395445995802751,NA,NA,500,200,5,0.5,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0947002012761147,36.2008798942375,0.36125,0,0.385650868477908,1e-17,NA,500,200,5,0.5,1,0.1,1,NA,NA
"EFA (varimax)",0.156237163945965,0.884698949378233,0.185,0,0.373125395434784,NA,"varimax",500,200,5,0.5,1,0.1,1,NA,NA
"EFA (oblimin)",0.156237163945966,0.902865399383145,0.1525,0,0.390778924959154,NA,"oblimin",500,200,5,0.5,1,0.1,1,NA,NA
"EFA (quartimin)",0.156237163945966,0.902865399383145,0.1525,0,0.390778924959154,NA,"quartimin",500,200,5,0.5,1,0.1,1,NA,NA
"EFA (quartimax)",0.156237163945965,0.884698949378262,0.16625,0,0.402875248118164,NA,"quartimax",500,200,5,0.5,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.5,1,0.1,1,0.1,NA
"PCA",1.90834829664832,4.67909952340177,0.636363636363636,0.175,-0.384081722468744,NA,NA,100,50,3,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0870311661540325,4.67901391306259,0.709090909090909,0,-0.31074808362419,1e-17,NA,100,50,3,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.0983034302698986,0.843747070447423,0.618181818181818,0,0.231382370619404,NA,"varimax",100,50,3,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.0983034302698986,0.846988165212705,0.554545454545455,0,0.371358328578941,NA,"oblimin",100,50,3,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.0983034302698986,0.846988165212705,0.554545454545455,0,0.371358328578941,NA,"quartimin",100,50,3,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.0983034302698985,0.843747070447421,0.545454545454545,0,0.370945510067318,NA,"quartimax",100,50,3,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.8,1,0.1,1,0.1,NA
"PCA",1.27001143485954,4.81240206743499,0.663636363636364,0.225,0.384246859494704,NA,NA,500,50,3,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0919149463129655,4.81231366065826,0.663636363636364,0,0.342763733314795,1e-17,NA,500,50,3,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.104674493962999,0.345802819368798,0.536363636363636,0,0.329075234802129,NA,"varimax",500,50,3,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.104674493962999,0.345851408308439,0.309090909090909,0,0.335644979423457,NA,"oblimin",500,50,3,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.104674493962999,0.345851408308439,0.309090909090909,0,0.335644979423457,NA,"quartimin",500,50,3,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.104674493962999,0.345802819368801,0.318181818181818,0,0.334323993015179,NA,"quartimax",500,50,3,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.8,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.8,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.46078559696479,9.24310073319874,0.604545454545454,0.4125,0.338329260032633,NA,NA,500,100,3,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0938660090880477,9.2429285678506,0.577272727272727,0,0.352098413775755,1e-17,NA,500,100,3,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.117382385733096,0.751385179212718,0.318181818181818,0,0.357949437712154,NA,"varimax",500,100,3,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.117382385733095,0.752644215832959,0.281818181818182,0,0.321155372201167,NA,"oblimin",500,100,3,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.117382385733095,0.752644215832959,0.281818181818182,0,0.321155372201167,NA,"quartimin",500,100,3,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.117382385733096,0.751385179212715,0.290909090909091,0,0.355522915751883,NA,"quartimax",500,100,3,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.8,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.8,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.1080384466344,18.9563430590754,0.463636363636364,0.45625,-0.334509037238994,NA,NA,500,200,3,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0960564355542704,18.9559915980383,0.456818181818182,0,-0.337607636585997,1e-17,NA,500,200,3,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.114044216805933,1.10979759383381,0.315909090909091,0,0.337201672483837,NA,"varimax",500,200,3,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.114044216805933,1.10877452289677,0.261363636363636,0,0.331585958497503,NA,"oblimin",500,200,3,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.114044216805933,1.10877452289677,0.261363636363636,0,0.331585958497503,NA,"quartimin",500,200,3,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.114044216805933,1.10979759383382,0.261363636363636,0,0.331641999783473,NA,"quartimax",500,200,3,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.8,1,0.1,1,0.1,NA
"PCA",1.4745927304786,4.95569325472294,0.657142857142857,0.35,-0.138217149776119,NA,NA,100,50,5,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0759175949608779,4.95564605169176,0.685714285714286,0,-0.171052304570994,1e-17,NA,100,50,5,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.103954034482778,1.38619794416563,0.442857142857143,0,0.17519124735407,NA,"varimax",100,50,5,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.103954034482778,1.42616114466652,0.376190476190476,0,0.144820296839364,NA,"oblimin",100,50,5,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.103954034482778,1.42616114466652,0.376190476190476,0,0.144820296839364,NA,"quartimin",100,50,5,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.103954034482778,1.38619794416563,0.376190476190476,0,0.141598214449779,NA,"quartimax",100,50,5,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.8,1,0.1,1,0.1,NA
"PCA",1.30866993666134,4.96270783169938,0.695238095238095,0.275,0.182495494009508,NA,NA,500,50,5,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.084079928075303,4.96265953280678,0.657142857142857,0,0.199604394540841,1e-17,NA,500,50,5,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.106844914009267,0.631542576793171,0.357142857142857,0,0.207199388760335,NA,"varimax",500,50,5,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.106844914009267,0.633302588176738,0.352380952380952,0,0.182361372340835,NA,"oblimin",500,50,5,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.106844914009267,0.633302588176738,0.352380952380952,0,0.182361372340835,NA,"quartimin",500,50,5,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.106844914009267,0.631542576793171,0.347619047619048,0,0.184245237699576,NA,"quartimax",500,50,5,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.8,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.8,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.42555615130997,9.85036456721577,0.566666666666667,0.4,-0.173352612159057,NA,NA,500,100,5,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0914637100904935,9.85026888606055,0.583333333333333,0,-0.197125144630507,1e-17,NA,500,100,5,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.109728699080266,1.08262185546889,0.264285714285714,0,0.220183264850423,NA,"varimax",500,100,5,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.109728699080266,1.08638002594298,0.235714285714286,0,0.184871491812815,NA,"oblimin",500,100,5,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.109728699080266,1.08638002594298,0.235714285714286,0,0.184871491812815,NA,"quartimin",500,100,5,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.109728699080266,1.08262185546889,0.238095238095238,0,0.189822004568692,NA,"quartimax",500,100,5,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.8,1,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.8,1,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.8,1,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",1.25061881902441,19.6347864784952,0.435714285714286,0.50625,0.218436388819088,NA,NA,500,200,5,0.8,1,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.093844265134773,19.6345959102145,0.455952380952381,0,0.202853179550461,1e-17,NA,500,200,5,0.8,1,0.1,1,NA,NA
"EFA (varimax)",0.116800202317936,1.67647401368675,0.277380952380952,0,0.206319082183396,NA,"varimax",500,200,5,0.8,1,0.1,1,NA,NA
"EFA (oblimin)",0.116800202317936,1.67703387165115,0.222619047619048,0,0.193954784203093,NA,"oblimin",500,200,5,0.8,1,0.1,1,NA,NA
"EFA (quartimin)",0.116800202317936,1.67703387165115,0.222619047619048,0,0.193954784203093,NA,"quartimin",500,200,5,0.8,1,0.1,1,NA,NA
"EFA (quartimax)",0.116800202317936,1.67647401368674,0.227380952380952,0,0.193547164369599,NA,"quartimax",500,200,5,0.8,1,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,5,0.8,1,0.1,1,0.1,NA
"PCA",0.264098221893493,1.51330408952302,0.225,0.281818181818182,-0.601787043106161,NA,NA,100,50,3,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0904374227545949,1.51321260501439,0.65,0.190909090909091,-0.416060501121834,1e-17,NA,100,50,3,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.200582269627762,0.868640854340005,0.45,0.0454545454545455,0.896779401509963,NA,"varimax",100,50,3,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.200582269627762,0.852562220411035,0.6,0.0636363636363636,0.871422212118806,NA,"oblimin",100,50,3,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.200582269627762,0.852562220411035,0.6,0.0636363636363636,0.871422212118806,NA,"quartimin",100,50,3,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.200582269627762,0.868640854340009,0.675,0.109090909090909,0.875359962743511,NA,"quartimax",100,50,3,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,3,0.2,2,0.1,1,0.1,NA
"PCA",0.280527472478321,1.37381135475614,0.15,0.4,-0.139488009124319,NA,NA,500,50,3,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0934985080305648,1.37371225003167,0.725,0.127272727272727,-0.265035548943601,1e-17,NA,500,50,3,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.198693904666256,0.660884290111126,0.7,0,0.906363568741374,NA,"varimax",500,50,3,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.198693904666256,0.968226585962292,0.5,0.190909090909091,0.526788650289053,NA,"oblimin",500,50,3,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.198693904666256,0.968226585962292,0.5,0.190909090909091,0.526788650289053,NA,"quartimin",500,50,3,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.198693904666256,0.660884290111127,0.8,0.0454545454545455,0.905433648791182,NA,"quartimax",500,50,3,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,3,0.2,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,3,0.2,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.253680625261475,2.88092275427596,0.0125,0.468181818181818,-0.546588790616609,NA,NA,500,100,3,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0967610965524139,2.88069194457242,0.6375,0.322727272727273,-0.367393351935791,1e-17,NA,500,100,3,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.204995597281984,1.31686011269355,0.575,0.00454545454545455,0.945521073366856,NA,"varimax",500,100,3,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.204995597281984,1.89127315473551,0.275,0.1,0.799845645908975,NA,"oblimin",500,100,3,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.204995597281984,1.89127315473551,0.275,0.1,0.799845645908975,NA,"quartimin",500,100,3,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.204995597281984,1.31686011269355,0.6625,0.0590909090909091,0.94636040992022,NA,"quartimax",500,100,3,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,3,0.2,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,3,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,3,0.2,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.302950133031306,5.20354222218676,0.00625,0.584090909090909,0.0702060335731296,NA,NA,500,200,3,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0978407690516568,5.20317409962457,0.44375,0.486363636363636,-0.2923165203175,1e-17,NA,500,200,3,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.211369951246095,2.5441232590347,0.4125,0,0.966098817771614,NA,"varimax",500,200,3,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.211369951246095,3.39081678506664,0.3,0.0727272727272727,0.814536190703087,NA,"oblimin",500,200,3,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.211369951246095,3.39081678506664,0.3,0.0727272727272727,0.814536190703087,NA,"quartimin",500,200,3,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.211369951246095,2.54412325903468,0.75625,0.0818181818181818,0.957848471793935,NA,"quartimax",500,200,3,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,200,3,0.2,2,0.1,1,0.1,NA
"PCA",0.318898880302291,2.796067791158,0.5125,0.394117647058824,0.0353046079536461,NA,NA,100,50,5,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0801366032294836,2.79599183056806,0.725,0.241176470588235,-0.116631769472611,1e-17,NA,100,50,5,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.198020838958167,1.1464595659612,0.5625,0.1,0.612142581114963,NA,"varimax",100,50,5,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.198020838958167,1.19258645331391,0.6,0.129411764705882,0.58418144485934,NA,"oblimin",100,50,5,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.198020838958167,1.19258645331391,0.6,0.129411764705882,0.58418144485934,NA,"quartimin",100,50,5,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.198020838958167,1.1464595659612,0.6625,0.182352941176471,0.608035814209858,NA,"quartimax",100,50,5,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",100,50,5,0.2,2,0.1,1,0.1,NA
"PCA",0.277764680641479,2.57416168595905,0.4375,0.394117647058824,0.386175505127577,NA,NA,500,50,5,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0872340133471324,2.57406677740388,0.65,0.205882352941176,0.235078962496983,1e-17,NA,500,50,5,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.195816066491262,0.581575535313611,0.3875,0.170588235294118,0.467122801904499,NA,"varimax",500,50,5,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.195816066491262,0.706194763490324,0.25,0.123529411764706,0.53772008905607,NA,"oblimin",500,50,5,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.195816066491262,0.706194763490324,0.25,0.123529411764706,0.53772008905607,NA,"quartimin",500,50,5,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.195816066491263,0.581575535313613,0.45,0.158823529411765,0.528992939587291,NA,"quartimax",500,50,5,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,50,5,0.2,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,100,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,100,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,100,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,100,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,100,5,0.2,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
"PCA",0.331482454667836,6.03326823209811,0.4125,0.491176470588235,0.17271345381689,NA,NA,500,100,5,0.2,2,0.1,1,NA,NA
"Sparse PCA (Fixed)",0.0927003426866519,6.0330757536,0.69375,0.3,0.152735189529452,1e-17,NA,500,100,5,0.2,2,0.1,1,NA,NA
"EFA (varimax)",0.203992368899277,1.5874858394108,0.4875,0.211764705882353,0.559266780749625,NA,"varimax",500,100,5,0.2,2,0.1,1,NA,NA
"EFA (oblimin)",0.203992368899277,1.66711208940678,0.34375,0.105882352941176,0.580146467856525,NA,"oblimin",500,100,5,0.2,2,0.1,1,NA,NA
"EFA (quartimin)",0.203992368899277,1.66711208940678,0.34375,0.105882352941176,0.580146467856525,NA,"quartimin",500,100,5,0.2,2,0.1,1,NA,NA
"EFA (quartimax)",0.203992368899277,1.5874858394108,0.55625,0.211764705882353,0.546523333231363,NA,"quartimax",500,100,5,0.2,2,0.1,1,NA,NA
"Regularized EFA",NA,NA,NA,NA,NA,1e-17,"varimax",500,100,5,0.2,2,0.1,1,0.1,NA
"PCA",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Sparse PCA (Fixed)",NA,NA,NA,NA,NA,NA,NA,100,200,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (varimax)",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (oblimin)",NA,NA,NA,NA,NA,NA,"oblimin",100,200,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimin)",NA,NA,NA,NA,NA,NA,"quartimin",100,200,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"EFA (quartimax)",NA,NA,NA,NA,NA,NA,"quartimax",100,200,5,0.2,2,0.1,1,NA,"arguments imply differing number of rows: 1, 0"
"Regularized EFA",NA,NA,NA,NA,NA,NA,"varimax",100,200,5,0.2,2,0.1,1,0.1,"arguments imply differing number of rows: 1, 0"
