method,n,p,m,alpha,gamma,sigma_sq,rotation_method,lambda,mean_mse,se_mse,mean_loading_error,se_loading_error,mean_false_positive_rate,se_false_positive_rate,mean_false_negative_rate,se_false_negative_rate,mean_factor_score_cor,se_factor_score_cor
EFA (oblimin),100,50,5,0.2,1,5,oblimin,NA,4.5022775006179865,NA,5.739726887947869,NA,0.65,NA,0.24705882352941178,NA,0.258999084393405,NA
EFA (oblimin),100,50,5,0.2,2,0.1,oblimin,NA,0.19802083895816716,NA,1.1925864533139068,NA,0.6,NA,0.12941176470588237,NA,0.58418144485934,NA
EFA (oblimin),100,50,5,0.2,2,1,oblimin,NA,0.8618070737339607,NA,3.488639037895843,NA,0.825,NA,0.18235294117647058,NA,0.14339153788291098,NA
EFA (oblimin),100,50,5,0.2,2,5,oblimin,NA,4.560432186997715,NA,3.89952461869276,NA,0.7875,NA,0.22941176470588234,NA,0.18342052919653584,NA
EFA (oblimin),100,50,5,0.5,0,0.1,oblimin,NA,0.10563166498896806,NA,0.6772290173805295,NA,0.325,NA,0,NA,0.341001400710152,NA
EFA (oblimin),100,50,5,0.5,0,1,oblimin,NA,0.8759143360357804,NA,5.920934106382866,NA,0.66,NA,0,NA,0.41945932343006875,NA
EFA (oblimin),100,50,5,0.5,0,5,oblimin,NA,4.695473355511935,NA,11.42948305423216,NA,0.735,NA,0.32,NA,0.008957108897987613,NA
EFA (oblimin),100,50,5,0.5,1,0.1,oblimin,NA,0.13516583712240357,NA,0.6316533991476483,NA,0.45,NA,0,NA,0.4026989772243237,NA
EFA (oblimin),100,50,5,0.5,1,1,oblimin,NA,0.8434828122796812,NA,6.122247397758898,NA,0.74,NA,0.04,NA,0.38830301112022836,NA
EFA (oblimin),100,50,5,0.5,1,5,oblimin,NA,4.7416209333780746,NA,9.087477421134638,NA,0.69,NA,0.18,NA,0.08264246974134337,NA
EFA (oblimin),100,50,5,0.5,2,0.1,oblimin,NA,0.15747196880981149,NA,1.0076061390786997,NA,0.415,NA,0,NA,0.429939847047991,NA
EFA (oblimin),100,50,5,0.5,2,1,oblimin,NA,0.8191933015919389,NA,4.711658467004883,NA,0.69,NA,0.02,NA,0.3089733853758377,NA
EFA (oblimin),100,50,5,0.5,2,5,oblimin,NA,4.64282784906555,NA,8.480698572613885,NA,0.715,NA,0.22,NA,0.2726103994780289,NA
EFA (oblimin),100,50,5,0.8,0,0.1,oblimin,NA,0.0994400135253678,NA,1.2940758322059622,NA,0.3904761904761905,NA,0,NA,0.24950711237703024,NA
EFA (oblimin),100,50,5,0.8,0,1,oblimin,NA,0.8254466883701475,NA,4.282127151364431,NA,0.7619047619047619,NA,0.1,NA,0.2314713778300472,NA
EFA (oblimin),100,50,5,0.8,0,5,oblimin,NA,4.559513181187236,NA,4.747662650945272,NA,0.7380952380952381,NA,0.175,NA,0.14227726033408772,NA
EFA (oblimin),100,50,5,0.8,1,0.1,oblimin,NA,0.10395403448277776,NA,1.4261611446665245,NA,0.3761904761904762,NA,0,NA,0.14482029683936448,NA
EFA (oblimin),100,50,5,0.8,1,1,oblimin,NA,0.8296800848661936,NA,4.321705912491407,NA,0.7952380952380952,NA,0.125,NA,0.1887883005323978,NA
EFA (oblimin),100,50,5,0.8,1,5,oblimin,NA,4.533937419748081,NA,4.756857560464543,NA,0.7904761904761904,NA,0.1,NA,0.12616982418688233,NA
EFA (oblimin),100,50,5,0.8,2,0.1,oblimin,NA,0.09924249855579012,NA,1.4795651167774508,NA,0.3952380952380952,NA,0,NA,0.2208765395181803,NA
EFA (oblimin),100,50,5,0.8,2,1,oblimin,NA,0.8301436229004423,NA,3.9676239424849578,NA,0.7619047619047619,NA,0.05,NA,0.18478032484211987,NA
EFA (oblimin),100,50,5,0.8,2,5,oblimin,NA,4.466029989963683,NA,4.90133580120383,NA,0.7142857142857143,NA,0.175,NA,0.17069051277305916,NA
EFA (oblimin),100,100,3,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.2,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.5,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,3,0.8,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.2,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.5,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,100,5,0.8,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.2,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.5,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,3,0.8,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.2,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.5,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,0,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,0,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,0,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,1,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,1,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,1,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,2,0.1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,2,1,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),100,200,5,0.8,2,5,oblimin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EFA (oblimin),500,50,3,0.2,0,0.1,oblimin,NA,0.16986625691185464,NA,1.16941626287419,NA,0.25,NA,0.18181818181818182,NA,0.5104409896958634,NA
EFA (oblimin),500,50,3,0.2,0,1,oblimin,NA,0.9587919461829425,NA,0.9430121453888418,NA,0.55,NA,0.14545454545454545,NA,0.804436821617333,NA
